condition_identifier,mae_mean,mae_sample_std,mape_percent_mean,mape_percent_sample_std,model_identifier,rmse_mean,rmse_sample_std,scope_identifier,seed_count,wmape_percent_mean,wmape_percent_sample_std
clean_native_history,1.998703182072757,0.011633651730916484,4.795698445787602,0.03531040523527245,FAR-GF-RC,4.424381748166483,0.029018830199663934,horizon_12,5,3.199469881403558,0.018622834374639245
clean_native_history,1.3600261655109083,0.004167270110424834,2.9628852566729518,0.02983975810837311,FAR-GF-RC,2.8327407413072745,0.009675505577366282,horizon_3,5,2.1771897777282163,0.006671149508392739
clean_native_history,1.686948589946534,0.0018921744876585003,3.912756108646613,0.008744334259432862,FAR-GF-RC,3.7186285714135785,0.017331996969268987,horizon_6,5,2.7004801607474023,0.0030290073420412033
clean_native_history,1.6273425445645273,0.002943736793255742,3.7654836494049255,0.01602448720428706,FAR-GF-RC,3.6250539794637056,0.01601799806475133,overall,5,2.6050696438630205,0.00471236949175038
iid_random_10pct,2.0067755197946116,0.011826311122871315,4.818656719369621,0.03945212912654809,FAR-GF-RC,4.438370007188899,0.03099814236760397,horizon_12,5,3.212391860837647,0.01893123830747841
iid_random_10pct,1.3746707067290553,0.004359546102450355,3.0032491510851727,0.03495581844554877,FAR-GF-RC,2.8716690313850406,0.009520043341953867,horizon_3,5,2.2006334042173363,0.006978953383756544
iid_random_10pct,1.696096530280321,0.0019683927142436315,3.938501426484735,0.012547665718670335,FAR-GF-RC,3.7383836078032147,0.016215814535543296,horizon_6,5,2.71512425335954,0.0031510180600958435
iid_random_10pct,1.6390366948121635,0.003219950379992541,3.7969563073529478,0.021219080544675202,FAR-GF-RC,3.6477858715611005,0.01593988563890012,overall,5,2.6237897811338393,0.005154535544886518
iid_random_30pct,2.032943589905852,0.012267485332434162,4.8900926744376445,0.04252457577217876,FAR-GF-RC,4.486041756989015,0.032762304761667964,horizon_12,5,3.2542809982174874,0.019637458024647454
iid_random_30pct,1.4139865738034292,0.003910695656406791,3.108523191453852,0.03428398284697048,FAR-GF-RC,2.9763543415351985,0.009744053293401713,horizon_3,5,2.2635719755974626,0.006260413823535816
iid_random_30pct,1.7238091119882042,0.001921822488128398,4.012932799909441,0.01270576950585176,FAR-GF-RC,3.7988154551791853,0.017061412341264442,horizon_6,5,2.7594867653834556,0.00307646808717118
iid_random_30pct,1.672463787420752,0.0034644289281317692,3.8847683646573024,0.02285594094025845,FAR-GF-RC,3.715505057255121,0.016924034260120915,overall,5,2.677300275607229,0.005545899764091849
iid_random_50pct,2.083945172055832,0.01295793596429398,5.022836721315832,0.046555164628913334,FAR-GF-RC,4.572566955864869,0.037854671679215066,horizon_12,5,3.3359229485863096,0.020742712682290446
iid_random_50pct,1.48303064667987,0.003208144255451402,3.297278443984735,0.029783029646334294,FAR-GF-RC,3.149183956211022,0.01004445128955295,horizon_3,5,2.3741007679775996,0.0051357386023691875
