absolute_mae_degradation,clean_mae,condition_identifier,model_identifier,model_seed,relative_mae_degradation_percent,scenario_mae,scope_identifier
0.011610330045150663,1.630689757753806,iid_random_10pct,FAR-GF-RC,17,0.7119888985593014,1.6423000877989566,overall
0.0449185476684657,1.630689757753806,iid_random_30pct,FAR-GF-RC,17,2.754573483698013,1.6756083054222717,overall
0.10726650923224867,1.630689757753806,iid_random_50pct,FAR-GF-RC,17,6.577983869844314,1.7379562669860547,overall
0.04790155003016916,1.630689757753806,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,17,2.9375023545957117,1.6785913077839751,overall
0.1596086436456332,1.630689757753806,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,17,9.78779948096848,1.7902984013994392,overall
0.6572827079311783,1.630689757753806,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,17,40.30703601380023,2.2879724656849842,overall
0.019000483719132877,1.630689757753806,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,17,1.1651807849277902,1.6496902414729389,overall
0.04249001894558124,1.630689757753806,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,17,2.6056470118576773,1.6731797766993872,overall
0.08101073858729713,1.630689757753806,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,17,4.9678817323833195,1.711700496341103,overall
0.014698273042682564,1.356771213167144,iid_random_10pct,FAR-GF-RC,17,1.083327306773559,1.3714694862098267,horizon_3
0.054779202888899814,1.356771213167144,iid_random_30pct,FAR-GF-RC,17,4.03746795018059,1.411550416056044,horizon_3
0.12502053269187585,1.356771213167144,iid_random_50pct,FAR-GF-RC,17,9.21456259379482,1.48179174585902,horizon_3
0.06424686334544538,1.356771213167144,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,17,4.735276126287523,1.4210180765125895,horizon_3
0.2087493085519163,1.356771213167144,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,17,15.385741275025119,1.5655205217190604,horizon_3
0.7985129962086512,1.356771213167144,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,17,58.85391644952894,2.1552842093757953,horizon_3
0.02418787066802186,1.356771213167144,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,17,1.7827523486114896,1.380959083835166,horizon_3
0.05333420196761374,1.356771213167144,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,17,3.930965033014992,1.4101054151347578,horizon_3
0.10139888828442567,1.356771213167144,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,17,7.473543608559307,1.4581701014515698,horizon_3
0.009172840887669897,1.6890615132347708,iid_random_10pct,FAR-GF-RC,17,0.5430732282865603,1.6982343541224407,horizon_6
0.036787048157119084,1.6890615132347708,iid_random_30pct,FAR-GF-RC,17,2.177957870028495,1.72584856139189,horizon_6
0.09066163921674586,1.6890615132347708,iid_random_50pct,FAR-GF-RC,17,5.367574745286637,1.7797231524515167,horizon_6
0.03646729556117845,1.6890615132347708,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,17,2.1590270854812665,1.7255288087959493,horizon_6
0.13003133489367058,1.6890615132347708,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,17,7.698436905630737,1.8190928481284414,horizon_6
0.6078325216907547,1.6890615132347708,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,17,35.98640528648818,2.2968940349255256,horizon_6
0.017092496205940222,1.6890615132347708,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,17,1.0119522629584925,1.706154009440711,horizon_6
0.03936082460510293,1.6890615132347708,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,17,2.3303369531949056,1.7284223378398738,horizon_6
0.07318678474433371,1.6890615132347708,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,17,4.332985161930045,1.7622482979791045,horizon_6
0.007813703863727817,2.010100268790571,iid_random_10pct,FAR-GF-RC,17,0.3887220943674185,2.017913972654299,horizon_12
0.03293607283334499,2.010100268790571,iid_random_30pct,FAR-GF-RC,17,1.6385288507603568,2.043036341623916,horizon_12
0.08508307607149312,2.010100268790571,iid_random_50pct,FAR-GF-RC,17,4.232777707287486,2.0951833448620643,horizon_12
0.027326478911032126,2.010100268790571,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,17,1.359458497434748,2.0374267477016033,horizon_12
0.09730631963226744,2.010100268790571,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,17,4.840868942861955,2.1074065884228386,horizon_12
0.4779323508879978,2.010100268790571,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,17,23.776542807765413,2.488032619678569,horizon_12
0.013075010634443718,2.010100268790571,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,17,0.6504655930577352,2.023175279425015,horizon_12
0.028664170674259637,2.010100268790571,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,17,1.4260070066806259,2.0387644394648308,horizon_12
0.05487915310997682,2.010100268790571,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,17,2.730169930428211,2.064979421900548,horizon_12
0.012645978417324066,1.6279427572238343,iid_random_10pct,FAR-GF-RC,29,0.7768073147049424,1.6405887356411584,overall
0.046322572399824624,1.6279427572238343,iid_random_30pct,FAR-GF-RC,29,2.845466905655792,1.674265329623659,overall
0.10643134580982783,1.6279427572238343,iid_random_50pct,FAR-GF-RC,29,6.537781831550851,1.7343741030336621,overall
0.047628058138103224,1.6279427572238343,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,29,2.9256592669956265,1.6755708153619375,overall
0.1593343529959652,1.6279427572238343,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,29,9.78746656102832,1.7872771102197995,overall
0.6614667136279819,1.6279427572238343,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,29,40.63206219584743,2.2894094708518162,overall
0.01911050157557037,1.6279427572238343,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,29,1.1739050092989707,1.6470532587994047,overall
0.04262380049543846,1.6279427572238343,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,29,2.6182616253734707,1.6705665577192728,overall
0.08074043596367053,1.6279427572238343,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,29,4.9596606272175645,1.7086831931875048,overall
0.01575776990698463,1.3651176232000573,iid_random_10pct,FAR-GF-RC,29,1.1543159094266076,1.3808753931070419,horizon_3
0.054700865716694747,1.3651176232000573,iid_random_30pct,FAR-GF-RC,29,4.007044139424926,1.419818488916752,horizon_3
0.12193334501093056,1.3651176232000573,iid_random_50pct,FAR-GF-RC,29,8.932076103823126,1.4870509682109878,horizon_3
0.06245321380661473,1.3651176232000573,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,29,4.574932792986311,1.427570837006672,horizon_3
0.20426432491881918,1.3651176232000573,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,29,14.96313002245114,1.5693819481188764,horizon_3
0.7935800794212382,1.3651176232000573,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,29,58.13272541020734,2.1586977026212955,horizon_3
0.02421768941307101,1.3651176232000573,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,29,1.774036830342928,1.3893353126131283,horizon_3
0.0529042537174198,1.3651176232000573,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,29,3.875435553560846,1.418021876917477,horizon_3
0.10033901949471291,1.3651176232000573,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,29,7.350210545191114,1.4654566426947702,horizon_3
0.0100736958294938,1.6868876502325805,iid_random_10pct,FAR-GF-RC,29,0.5971764526288923,1.6969613460620743,horizon_6
0.03787951038158144,1.6868876502325805,iid_random_30pct,FAR-GF-RC,29,2.245526569381119,1.724767160614162,horizon_6
0.08907956953770468,1.6868876502325805,iid_random_50pct,FAR-GF-RC,29,5.280705536342198,1.7759672197702852,horizon_6
0.035909478918164206,1.6868876502325805,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,29,2.1287415859149346,1.7227971291507447,horizon_6
0.12901163505041469,1.6868876502325805,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,29,7.647909155812904,1.8158992852829952,horizon_6
0.6120425322566241,1.6868876502325805,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,29,36.282353016944455,2.2989301824892046,horizon_6
0.017452344119302632,1.6868876502325805,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,29,1.0345884100163032,1.704339994351883,horizon_6
0.039614995225900396,1.6868876502325805,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,29,2.3484074485007023,1.7265026454584809,horizon_6
0.07336072295922569,1.6868876502325805,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,29,4.348880196562648,1.7602483731918062,horizon_6
0.008527702619828048,1.9967054363150414,iid_random_10pct,FAR-GF-RC,29,0.42708866639668636,2.0052331389348694,horizon_12
0.03505713662340959,1.9967054363150414,iid_random_30pct,FAR-GF-RC,29,1.7557490446917505,2.031762572938451,horizon_12
0.08531315344076029,1.9967054363150414,iid_random_50pct,FAR-GF-RC,29,4.2726960065881014,2.0820185897558017,horizon_12
0.028543860329168336,1.9967054363150414,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,29,1.4295478847318903,2.0252492966442097,horizon_12
0.09973938148352168,1.9967054363150414,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,29,4.995197572436756,2.096444817798563,horizon_12
0.48361659039729643,1.9967054363150414,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,29,24.220727885121615,2.480322026712338,horizon_12
0.01270361348947624,1.9967054363150414,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,29,0.6362287224960436,2.0094090498045176,horizon_12
0.02869690919369905,1.9967054363150414,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,29,1.4372129544886576,2.0254023455087404,horizon_12
0.05410583046815587,1.9967054363150414,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,29,2.7097552540353287,2.0508112667831973,horizon_12
0.010808270653825058,1.6256150800237295,iid_random_10pct,FAR-GF-RC,43,0.6648726864459997,1.6364233506775545,overall
0.04332346909083529,1.6256150800237295,iid_random_30pct,FAR-GF-RC,43,2.6650508858593316,1.6689385491145647,overall
0.10446724512560213,1.6256150800237295,iid_random_50pct,FAR-GF-RC,43,6.426321114348742,1.7300823251493316,overall
0.04701348698602281,1.6256150800237295,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,43,2.8920429912188403,1.6726285670097523,overall
0.15838445240843324,1.6256150800237295,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,43,9.743047684210783,1.7839995324321627,overall
0.6662528961594527,1.6256150800237295,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,43,40.984665087489674,2.291867976183182,overall
0.019544258554806238,1.6256150800237295,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,43,1.2022685317683535,1.6451593385785357,overall
0.043189316025336266,1.6256150800237295,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,43,2.656798436239028,1.6688043960490657,overall
0.08203745665506235,1.6256150800237295,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,43,5.0465486979774345,1.7076525366787918,overall
0.013657616007585416,1.3640064032958397,iid_random_10pct,FAR-GF-RC,43,1.0012867956180125,1.377664019303425,horizon_3
0.052195149204580016,1.3640064032958397,iid_random_30pct,FAR-GF-RC,43,3.8266058779827734,1.4162015525004197,horizon_3
0.12177835253293567,1.3640064032958397,iid_random_50pct,FAR-GF-RC,43,8.927989798191815,1.4857847558287753,horizon_3
0.06220380706043005,1.3640064032958397,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,43,4.5603750033817585,1.4262102103562697,horizon_3
0.20555110278383926,1.3640064032958397,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,43,15.069658198610174,1.569557506079679,horizon_3
0.7986442819386896,1.3640064032958397,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,43,58.551358703957014,2.1626506852345293,horizon_3
0.024634998810108666,1.3640064032958397,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,43,1.8060764781296688,1.3886414021059483,horizon_3
0.053331318562609864,1.3640064032958397,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,43,3.909902360703421,1.4173377218584495,horizon_3
0.10117982182368523,1.3640064032958397,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,43,7.417840677228868,1.465186225119525,horizon_3
0.008289629172010704,1.6873782862317785,iid_random_10pct,FAR-GF-RC,43,0.4912727181361891,1.6956679154037892,horizon_6
0.03556296842845019,1.6873782862317785,iid_random_30pct,FAR-GF-RC,43,2.107587179391098,1.7229412546602287,horizon_6
0.08783328770956533,1.6873782862317785,iid_random_50pct,FAR-GF-RC,43,5.2053110097625455,1.7752115739413439,horizon_6
0.035770836947649265,1.6873782862317785,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,43,2.119906202392353,1.7231491231794278,horizon_6
0.1277777596080032,1.6873782862317785,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,43,7.572561567883755,1.8151560458397817,horizon_6
0.6124967620740578,1.6873782862317785,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,43,36.298722525455396,2.2998750483058363,horizon_6
0.0176578008462438,1.6873782862317785,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,43,1.0464636762439836,1.7050360870780223,horizon_6
0.03999697736857777,1.6873782862317785,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,43,2.3703622178224344,1.7273752636003563,horizon_6
0.07402242181484864,1.6873782862317785,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,43,4.386830292817986,1.7614007080466272,horizon_6
0.007704002895152273,1.9822096409459058,iid_random_10pct,FAR-GF-RC,43,0.3886573214060215,1.989913643841058,horizon_12
0.03292858157387224,1.9822096409459058,iid_random_30pct,FAR-GF-RC,43,1.661205802538565,2.015138222519778,horizon_12
0.08346529334258612,1.9822096409459058,iid_random_50pct,FAR-GF-RC,43,4.210719775470201,2.065674934288492,horizon_12
0.027710951171640907,1.9822096409459058,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,43,1.39798286716118,2.0099205921175467,horizon_12
0.09930224271077437,1.9822096409459058,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,43,5.009674085904837,2.08151188365668,horizon_12
0.5001939083998308,1.9822096409459058,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,43,25.23415778369131,2.4824035493457366,horizon_12
0.013762570864536583,1.9822096409459058,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,43,0.6943045064582127,1.9959722118104424,horizon_12
0.03018111958780434,1.9822096409459058,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,43,1.5225997777612452,2.01239076053371,horizon_12
0.05714970958739851,1.9822096409459058,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,43,2.8831314512286808,2.0393593505333043,horizon_12
0.01157865231260935,1.623261873248746,iid_random_10pct,FAR-GF-RC,71,0.713295402511746,1.6348405255613554,overall
0.045217449857950065,1.623261873248746,iid_random_30pct,FAR-GF-RC,71,2.785591813812103,1.668479323106696,overall
0.1051411488634888,1.623261873248746,iid_random_50pct,FAR-GF-RC,71,6.477152614510841,1.7284030221122348,overall
0.048437897359568494,1.623261873248746,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,71,2.983985403576712,1.6716997706083145,overall
0.16088716919538193,1.623261873248746,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,71,9.9113502169177,1.784149042444128,overall
0.6675121973852924,1.623261873248746,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,71,41.12165808769686,2.2907740706340385,overall
0.019360064837627977,1.623261873248746,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,71,1.1926642987604545,1.642621938086374,overall
0.04317565354219077,1.623261873248746,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,71,2.659808269615817,1.6664375267909368,overall
0.08200759969632831,1.623261873248746,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,71,5.052025249148545,1.7052694729450744,overall
