baseline_mae,baseline_model,condition_identifier,far_mae,model_seed,paired_mae_improvement_percent,reference_model,scope_identifier
1.7269280033858796,MS-GRU,clean_native_history,1.630689757753806,17,5.572800107670112,FAR-GF-RC,overall
1.441245852718401,MS-GRU,clean_native_history,1.356771213167144,17,5.8612234263797145,FAR-GF-RC,horizon_3
1.754834501155729,MS-GRU,clean_native_history,1.6890615132347708,17,3.748102050514746,FAR-GF-RC,horizon_6
2.1228426388350665,MS-GRU,clean_native_history,2.010100268790571,17,5.310915090077709,FAR-GF-RC,horizon_12
1.7384788481194269,MS-GRU,iid_random_10pct,1.6423000877989566,17,5.532351482131069,FAR-GF-RC,overall
1.4586848779919195,MS-GRU,iid_random_10pct,1.3714694862098267,17,5.979042704696904,FAR-GF-RC,horizon_3
1.7650611309243789,MS-GRU,iid_random_10pct,1.6982343541224407,17,3.7860885173387935,FAR-GF-RC,horizon_6
2.126887550852844,MS-GRU,iid_random_10pct,2.017913972654299,17,5.12361728549536,FAR-GF-RC,horizon_12
1.7709382130103992,MS-GRU,iid_random_30pct,1.6756083054222717,17,5.383017142426287,FAR-GF-RC,overall
1.5059077876815798,MS-GRU,iid_random_30pct,1.411550416056044,17,6.265813378308097,FAR-GF-RC,horizon_3
1.7938409969305915,MS-GRU,iid_random_30pct,1.72584856139189,17,3.790326771159886,FAR-GF-RC,horizon_6
2.14145521729681,MS-GRU,iid_random_30pct,2.043036341623916,17,4.5958876411681135,FAR-GF-RC,horizon_12
1.8268530998835635,MS-GRU,iid_random_50pct,1.7379562669860547,17,4.866118293976388,FAR-GF-RC,overall
1.5839870123455644,MS-GRU,iid_random_50pct,1.48179174585902,17,6.451774268983046,FAR-GF-RC,horizon_3
1.8453317947884946,MS-GRU,iid_random_50pct,1.7797231524515167,17,3.5553845938311475,FAR-GF-RC,horizon_6
2.1683204273112042,MS-GRU,iid_random_50pct,2.0951833448620643,17,3.372983140680577,FAR-GF-RC,horizon_12
1.785905291635505,MS-GRU,temporal_tail_25pct_sensors_3steps,1.6785913077839751,17,6.008940359499874,FAR-GF-RC,overall
1.5307510127730426,MS-GRU,temporal_tail_25pct_sensors_3steps,1.4210180765125895,17,7.168568587889787,FAR-GF-RC,horizon_3
1.8067293637016861,MS-GRU,temporal_tail_25pct_sensors_3steps,1.7255288087959493,17,4.494339691218086,FAR-GF-RC,horizon_6
2.145527841396502,MS-GRU,temporal_tail_25pct_sensors_3steps,2.0374267477016033,17,5.038438169347504,FAR-GF-RC,horizon_12
1.9243910531625514,MS-GRU,temporal_tail_50pct_sensors_6steps,1.7902984013994392,17,6.968056286831301,FAR-GF-RC,overall
1.7251808492319034,MS-GRU,temporal_tail_50pct_sensors_6steps,1.5655205217190604,17,9.254700896078694,FAR-GF-RC,horizon_3
1.9312842627049713,MS-GRU,temporal_tail_50pct_sensors_6steps,1.8190928481284414,17,5.809161123665647,FAR-GF-RC,horizon_6
2.2164962100551935,MS-GRU,temporal_tail_50pct_sensors_6steps,2.1074065884228386,17,4.921714782884219,FAR-GF-RC,horizon_12
2.5353349266294685,MS-GRU,temporal_tail_75pct_sensors_12steps,2.2879724656849842,17,9.756598954495272,FAR-GF-RC,overall
2.4679963938894582,MS-GRU,temporal_tail_75pct_sensors_12steps,2.1552842093757953,17,12.670690495655128,FAR-GF-RC,horizon_3
2.525303263526603,MS-GRU,temporal_tail_75pct_sensors_12steps,2.2968940349255256,17,9.044823720779668,FAR-GF-RC,horizon_6
2.6658446529623796,MS-GRU,temporal_tail_75pct_sensors_12steps,2.488032619678569,17,6.670007312174764,FAR-GF-RC,horizon_12
