absolute_mae_degradation_mean,absolute_mae_degradation_sample_std,condition_identifier,model_identifier,relative_mae_degradation_percent_mean,relative_mae_degradation_percent_sample_std,scope_identifier,seed_count
0.00807233772185465,0.0004285206095647524,iid_random_10pct,FAR-GF-RC,0.4038461116672525,0.020514356806605256,horizon_12,5
0.0146445412181468,0.0007506581717804584,iid_random_10pct,FAR-GF-RC,1.0767686877853309,0.054545976998984086,horizon_3,5
0.00914794033378703,0.00063224621185054,iid_random_10pct,FAR-GF-RC,0.5422793897334572,0.03750679790130058,horizon_6,5
0.011694150247636603,0.0006574405978211942,iid_random_10pct,FAR-GF-RC,0.7185867738014794,0.04000272104371339,overall,5
0.03424040783309499,0.0013897018264798576,iid_random_30pct,FAR-GF-RC,1.7130446102632966,0.06590169165138808,horizon_12,5
0.05396040829252056,0.0010565129435928953,iid_random_30pct,FAR-GF-RC,3.967699479266203,0.0827119980138474,horizon_3,5
0.03686052204167019,0.0008351090070638649,iid_random_30pct,FAR-GF-RC,2.185051637956843,0.05000952079972907,horizon_6,5
0.045121242856224916,0.001142326385073419,iid_random_30pct,FAR-GF-RC,2.7726714044922076,0.06887676505254871,overall,5
0.08524198998307524,0.0016521529670836187,iid_random_50pct,FAR-GF-RC,4.264681404873366,0.06512279270140184,horizon_12,5
0.12300448116896145,0.001309222786212252,iid_random_50pct,FAR-GF-RC,9.04453084628011,0.11968791723452436,horizon_3,5
0.08894242844627627,0.0013619214913971303,iid_random_50pct,FAR-GF-RC,5.272330974434261,0.07594551625046651,horizon_6,5
0.10614107113935911,0.0012975998759930632,iid_random_50pct,FAR-GF-RC,6.522272783180291,0.06976042658345485,overall,5
0.02916689420866838,0.0006943753090992882,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,1.4594737135843734,0.04255871044014846,horizon_12,5
0.05320143995871929,0.00023680706634680805,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,3.911839678479621,0.024342749958418307,horizon_3,5
0.039733149035486505,0.0003551313296339199,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,2.355344790052242,0.023316306538312438,horizon_6,5
0.0427777237061616,0.0003773489453454902,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,2.628723554774882,0.027626433266473547,overall,5
0.055182550987230974,0.0013349854234931458,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,2.761244233246644,0.08058700480826987,horizon_12,5
0.1011138074442444,0.0004863050423884435,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,7.434812654698369,0.05409648340812414,horizon_3,5
0.07376372220213248,0.0006074012304546755,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,4.372645255328789,0.040428553679143844,horizon_6,5
