condition_identifier,mae,mape_percent,model_identifier,model_seed,rmse,scope_identifier,scored_cells,wmape_percent
iid_random_50pct,2.0951833448620643,5.073214769717953,FAR-GF-RC,17,4.608352040064188,horizon_12,3384008,3.3539127110172964
temporal_tail_25pct_sensors_3steps,1.6785913077839751,3.9024355498340517,FAR-GF-RC,17,3.7424598757451073,overall,40608096,2.687109284376588
temporal_tail_25pct_sensors_3steps,1.4210180765125895,3.129112689939948,FAR-GF-RC,17,3.0105998948137564,horizon_3,3384008,2.2748283147831883
temporal_tail_25pct_sensors_3steps,1.7255288087959493,4.021557284410658,FAR-GF-RC,17,3.8154196709933856,horizon_6,3384008,2.7622396691408624
temporal_tail_25pct_sensors_3steps,2.0374267477016033,4.903390641809759,FAR-GF-RC,17,4.504554785113989,horizon_12,3384008,3.2614575157062973
temporal_tail_50pct_sensors_6steps,1.7902984013994392,4.206518965931939,FAR-GF-RC,17,3.969932488579279,overall,40608096,2.865931352019195
temporal_tail_50pct_sensors_6steps,1.5655205217190604,3.5423234449882255,FAR-GF-RC,17,3.381158035921911,horizon_3,3384008,2.5061541925776596
temporal_tail_50pct_sensors_6steps,1.8190928481284414,4.279521809213332,FAR-GF-RC,17,4.014653752000829,horizon_6,3384008,2.912017696451578
temporal_tail_50pct_sensors_6steps,2.1074065884228386,5.082653876938924,FAR-GF-RC,17,4.6229176357785295,horizon_12,3384008,3.3734793480129914
temporal_tail_75pct_sensors_12steps,2.2879724656849842,5.311864918201197,FAR-GF-RC,17,4.694058379156954,overall,40608096,3.662614018332169
temporal_tail_75pct_sensors_12steps,2.1552842093757953,4.9102304697638575,FAR-GF-RC,17,4.395575008188619,horizon_3,3384008,3.4502738754215416
temporal_tail_75pct_sensors_12steps,2.2968940349255256,5.320312840741081,FAR-GF-RC,17,4.695573963501378,horizon_6,3384008,3.676885478087996
temporal_tail_75pct_sensors_12steps,2.488032619678569,5.891451439536555,FAR-GF-RC,17,5.090607986974257,horizon_12,3384008,3.9827751824339663
spatial_geographic_knn4_cluster_8_full_history,1.6496902414729389,3.821210295112123,FAR-GF-RC,17,3.677405143580653,overall,40608096,2.6408441075865965
spatial_geographic_knn4_cluster_8_full_history,1.380959083835166,3.0115663917938935,FAR-GF-RC,17,2.893457953785139,horizon_3,3384008,2.210700115212401
spatial_geographic_knn4_cluster_8_full_history,1.706154009440711,3.9611185335369457,FAR-GF-RC,17,3.7614639631479774,horizon_6,3384008,2.73122434265783
spatial_geographic_knn4_cluster_8_full_history,2.023175279425015,4.863829588449556,FAR-GF-RC,17,4.472535254013919,horizon_12,3384008,3.2386441515581317
spatial_geographic_knn4_cluster_16_full_history,1.6731797766993872,3.879046276005408,FAR-GF-RC,17,3.7242358705269725,overall,40608096,2.678446439911317
spatial_geographic_knn4_cluster_16_full_history,1.4101054151347578,3.0878978872217258,FAR-GF-RC,17,2.970658727148333,horizon_3,3384008,2.2573588458846254
spatial_geographic_knn4_cluster_16_full_history,1.7284223378398738,4.015420131804967,FAR-GF-RC,17,3.805563500947329,horizon_6,3384008,2.7668716524889216
spatial_geographic_knn4_cluster_16_full_history,2.0387644394648308,4.8997966384843545,FAR-GF-RC,17,4.496553729407793,horizon_12,3384008,3.263598856424337
spatial_geographic_knn4_cluster_32_full_history,1.711700496341103,3.9613793509990973,FAR-GF-RC,17,3.791545259982112,overall,40608096,2.7401108741962603
spatial_geographic_knn4_cluster_32_full_history,1.4581701014515698,3.198648687416636,FAR-GF-RC,17,3.0839765971568895,horizon_3,3384008,2.3343029123830554
spatial_geographic_knn4_cluster_32_full_history,1.7622482979791045,4.084981996649551,FAR-GF-RC,17,3.8635977763809684,horizon_6,3384008,2.821020507302049
spatial_geographic_knn4_cluster_32_full_history,2.064979421900548,4.9486685370744325,FAR-GF-RC,17,4.531806380533656,horizon_12,3384008,3.3055630897816974
clean_native_history,1.6279427572238343,3.787968669993092,FAR-GF-RC,29,3.604234864025903,overall,40608096,2.6060304715534452
clean_native_history,1.3651176232000573,3.0151047425698114,FAR-GF-RC,29,2.8288631039509116,horizon_3,3384008,2.185340407411422
clean_native_history,1.6868876502325805,3.919250886830474,FAR-GF-RC,29,3.6938216199587988,horizon_6,3384008,2.700382607988822
clean_native_history,1.9967054363150414,4.830835223426072,FAR-GF-RC,29,4.401874364376026,horizon_12,3384008,3.1962719441411154
iid_random_10pct,1.6405887356411584,3.8269995268698453,FAR-GF-RC,29,3.6296618584601203,overall,40608096,2.626274306879912
iid_random_10pct,1.3808753931070419,3.0644214357674717,FAR-GF-RC,29,2.871190207213864,horizon_3,3384008,2.2105661394093
iid_random_10pct,1.6969613460620743,3.952633876643334,FAR-GF-RC,29,3.716245119091453,horizon_6,3384008,2.7165086570546166
iid_random_10pct,2.0052331389348694,4.859061863263149,FAR-GF-RC,29,4.417153036946798,horizon_12,3384008,3.209922859361759
iid_random_30pct,1.674265329623659,3.9169057681296797,FAR-GF-RC,29,3.6963475009473954,overall,40608096,2.6801842061728043
iid_random_30pct,1.419818488916752,3.168613067992452,FAR-GF-RC,29,2.9724541912032323,horizon_3,3384008,2.272907962133086
iid_random_30pct,1.724767160614162,4.0285545094976865,FAR-GF-RC,29,3.774840695681639,horizon_6,3384008,2.7610204169261574
iid_random_30pct,2.031762572938451,4.935984493347907,FAR-GF-RC,29,4.464595468312102,horizon_12,3384008,3.252390458266123
iid_random_50pct,1.7343741030336621,4.073244239906129,FAR-GF-RC,29,3.8115352818340673,overall,40608096,2.7764070582473455
iid_random_50pct,1.4870509682109878,3.34868866202891,FAR-GF-RC,29,3.1397516731010953,horizon_3,3384008,2.380536675729009
iid_random_50pct,1.7759672197702852,4.162349458576905,FAR-GF-RC,29,3.8768834057443264,horizon_6,3384008,2.842981861871309
iid_random_50pct,2.0820185897558017,5.067658909709599,FAR-GF-RC,29,4.545420291585894,horizon_12,3384008,3.3328389278581283
temporal_tail_25pct_sensors_3steps,1.6755708153619375,3.9077707255661234,FAR-GF-RC,29,3.70457080590212,overall,40608096,2.682274043545178
temporal_tail_25pct_sensors_3steps,1.427570837006672,3.183113350455829,FAR-GF-RC,29,3.0045567209750375,horizon_3,3384008,2.285318262348468
temporal_tail_25pct_sensors_3steps,1.7227971291507447,4.0121213479928235,FAR-GF-RC,29,3.7773459328697134,horizon_6,3384008,2.7578667755438935
temporal_tail_25pct_sensors_3steps,2.0252492966442097,4.898929315910162,FAR-GF-RC,29,4.454233537451851,horizon_12,3384008,3.2419641821088634
temporal_tail_50pct_sensors_6steps,1.7872771102197995,4.2016729433072815,FAR-GF-RC,29,3.930644246514356,overall,40608096,2.8610948325269474
temporal_tail_50pct_sensors_6steps,1.5693819481188764,3.5782405740215926,FAR-GF-RC,29,3.3681846190959424,horizon_3,3384008,2.5123357340055565
temporal_tail_50pct_sensors_6steps,1.8158992852829952,4.26081093600513,FAR-GF-RC,29,3.97304142634415,horizon_6,3384008,2.906905416707178
temporal_tail_50pct_sensors_6steps,2.096444817798563,5.073152659431276,FAR-GF-RC,29,4.56967409033174,horizon_12,3384008,3.3559320427033295
temporal_tail_75pct_sensors_12steps,2.2894094708518162,5.314588482720135,FAR-GF-RC,29,4.6638792554225885,overall,40608096,3.664914393597777
temporal_tail_75pct_sensors_12steps,2.1586977026212955,4.920849064652194,FAR-GF-RC,29,4.3701951143528674,horizon_3,3384008,3.4557383457302104
temporal_tail_75pct_sensors_12steps,2.2989301824892046,5.314046485335799,FAR-GF-RC,29,4.665321567863581,horizon_6,3384008,3.6801449586274972
temporal_tail_75pct_sensors_12steps,2.480322026712338,5.907432968235884,FAR-GF-RC,29,5.054901881591534,horizon_12,3384008,3.9704322742000207
spatial_geographic_knn4_cluster_8_full_history,1.6470532587994047,3.832666975133868,FAR-GF-RC,29,3.640915028051788,overall,40608096,2.636622793802869
spatial_geographic_knn4_cluster_8_full_history,1.3893353126131283,3.074690133788384,FAR-GF-RC,29,2.8919280892605967,horizon_3,3384008,2.2241091511072666
spatial_geographic_knn4_cluster_8_full_history,1.704339994351883,3.9593374510536186,FAR-GF-RC,29,3.726843523891825,horizon_6,3384008,2.72832045347717
spatial_geographic_knn4_cluster_8_full_history,2.0094090498045176,4.858623673309936,FAR-GF-RC,29,4.421069802681428,horizon_12,3384008,3.2166075442988236
spatial_geographic_knn4_cluster_16_full_history,1.6705665577192728,3.890529974380124,FAR-GF-RC,29,3.687963494707034,overall,40608096,2.6742631673356687
spatial_geographic_knn4_cluster_16_full_history,1.418021876917477,3.1485327386333934,FAR-GF-RC,29,2.965937964805487,horizon_3,3384008,2.2700318665265757
spatial_geographic_knn4_cluster_16_full_history,1.7265026454584809,4.013528157957099,FAR-GF-RC,29,3.770541504810945,horizon_6,3384008,2.7637985942928482
spatial_geographic_knn4_cluster_16_full_history,2.0254023455087404,4.897001346254284,FAR-GF-RC,29,4.446981312370016,horizon_12,3384008,3.2422091785829976
spatial_geographic_knn4_cluster_32_full_history,1.7086831931875048,3.9712422719696763,FAR-GF-RC,29,3.7546096183289257,overall,40608096,2.735280738784374
spatial_geographic_knn4_cluster_32_full_history,1.4654566426947702,3.257273796457605,FAR-GF-RC,29,3.0771854290902763,horizon_3,3384008,2.345967528485299
spatial_geographic_knn4_cluster_32_full_history,1.7602483731918062,4.082627228457432,FAR-GF-RC,29,3.8290636462109435,horizon_6,3384008,2.8178190124590694
spatial_geographic_knn4_cluster_32_full_history,2.0508112667831973,4.943133100998456,FAR-GF-RC,29,4.479514062605182,horizon_12,3384008,3.282883091080736
clean_native_history,1.6256150800237295,3.750897213513796,FAR-GF-RC,43,3.614822594243991,overall,40608096,2.602304297715639
clean_native_history,1.3640064032958397,2.9397622404890775,FAR-GF-RC,43,2.830885875483506,horizon_3,3384008,2.1835615176535463
clean_native_history,1.6873782862317785,3.910759305758907,FAR-GF-RC,43,3.7155218302190565,horizon_6,3384008,2.7011680218359766
clean_native_history,1.9822096409459058,4.756779600649677,FAR-GF-RC,43,4.385792641905138,horizon_12,3384008,3.1730674678053936
iid_random_10pct,1.6364233506775545,3.7765359260563036,FAR-GF-RC,43,3.633470153830732,overall,40608096,2.619606308209361
iid_random_10pct,1.377664019303425,2.9758732930990086,FAR-GF-RC,43,2.867157610235506,horizon_3,3384008,2.2054252308040074
iid_random_10pct,1.6956679154037892,3.929818577953186,FAR-GF-RC,43,3.732352363325423,horizon_6,3384008,2.714438123398276
iid_random_10pct,1.989913643841058,4.775886193925546,FAR-GF-RC,43,4.395019310388106,horizon_12,3384008,3.185399826832172
iid_random_30pct,1.6689385491145647,3.8649133056646754,FAR-GF-RC,43,3.699394170625763,overall,40608096,2.6716570314546653
iid_random_30pct,1.4162015525004197,3.0826582207711746,FAR-GF-RC,43,2.971627875579223,horizon_3,3384008,2.2671178110374464
iid_random_30pct,1.7229412546602287,4.005780330350122,FAR-GF-RC,43,3.7920702744218886,horizon_6,3384008,2.7580974927580035
iid_random_30pct,2.015138222519778,4.848218293638161,FAR-GF-RC,43,4.439297393726994,horizon_12,3384008,3.2257786486990403
iid_random_50pct,1.7300823251493316,4.032611565121172,FAR-GF-RC,43,3.8192828494738147,overall,40608096,2.769536728259344
iid_random_50pct,1.4857847558287753,3.277709059458746,FAR-GF-RC,43,3.1488950571273033,horizon_3,3384008,2.378509667186897
iid_random_50pct,1.7752115739413439,4.152194979656975,FAR-GF-RC,43,3.9012770310267486,horizon_6,3384008,2.84177221826879
iid_random_50pct,2.065674934288492,4.987891653544483,FAR-GF-RC,43,4.520925278995026,horizon_12,3384008,3.3066764471612866
temporal_tail_25pct_sensors_3steps,1.6726285670097523,3.875692803641315,FAR-GF-RC,43,3.7135844616213673,overall,40608096,2.677564056767911
temporal_tail_25pct_sensors_3steps,1.4262102103562697,3.1125826060260695,FAR-GF-RC,43,3.009171728982795,horizon_3,3384008,2.283140111288082
temporal_tail_25pct_sensors_3steps,1.7231491231794278,4.009939655000103,FAR-GF-RC,43,3.7991554143101265,horizon_6,3384008,2.7584302502679163
temporal_tail_25pct_sensors_3steps,2.0099205921175467,4.8290232597615,FAR-GF-RC,43,4.433949445061173,horizon_12,3384008,3.2174264073687784
temporal_tail_50pct_sensors_6steps,1.7839995324321627,4.176735209703081,FAR-GF-RC,43,3.9354978133248917,overall,40608096,2.8558480463303404
temporal_tail_50pct_sensors_6steps,1.569557506079679,3.5218067261939194,FAR-GF-RC,43,3.3748314002520563,horizon_3,3384008,2.5126167749203203
temporal_tail_50pct_sensors_6steps,1.8151560458397817,4.261507957823752,FAR-GF-RC,43,3.9887525302546076,horizon_6,3384008,2.9057156333414937
temporal_tail_50pct_sensors_6steps,2.08151188365668,5.011615585037437,FAR-GF-RC,43,4.548253109937039,horizon_12,3384008,3.332027806468317
temporal_tail_75pct_sensors_12steps,2.291867976183182,5.326351951449413,FAR-GF-RC,43,4.6700682618836575,overall,40608096,3.6688499986917438
temporal_tail_75pct_sensors_12steps,2.1626506852345293,4.949560738328753,FAR-GF-RC,43,4.383546748452309,horizon_3,3384008,3.4620664543764414
temporal_tail_75pct_sensors_12steps,2.2998750483058363,5.346989221375637,FAR-GF-RC,43,4.677711079656124,horizon_6,3384008,3.68165750702855
temporal_tail_75pct_sensors_12steps,2.4824035493457366,5.8410202626573335,FAR-GF-RC,43,5.037671810235372,horizon_12,3384008,3.9737643192143848
spatial_geographic_knn4_cluster_8_full_history,1.6451593385785357,3.797255347205149,FAR-GF-RC,43,3.6515037407620117,overall,40608096,2.6335909833879296
spatial_geographic_knn4_cluster_8_full_history,1.3886414021059483,3.0028688191458586,FAR-GF-RC,43,2.8947422417597926,horizon_3,3384008,2.222998308609378
spatial_geographic_knn4_cluster_8_full_history,1.7050360870780223,3.951933583138957,FAR-GF-RC,43,3.7479255282873534,horizon_6,3384008,2.729434764018808
spatial_geographic_knn4_cluster_8_full_history,1.9959722118104424,4.78546611943942,FAR-GF-RC,43,4.405368341919933,horizon_12,3384008,3.1950982182273258
spatial_geographic_knn4_cluster_16_full_history,1.6688043960490657,3.8551384875195054,FAR-GF-RC,43,3.6981545740429356,overall,40608096,2.6714422776035294
spatial_geographic_knn4_cluster_16_full_history,1.4173377218584495,3.079202967618671,FAR-GF-RC,43,2.96998635069827,horizon_3,3384008,2.2689366409796934
spatial_geographic_knn4_cluster_16_full_history,1.7273752636003563,4.006180500849927,FAR-GF-RC,43,3.7910100425887046,horizon_6,3384008,2.7651954880654785
spatial_geographic_knn4_cluster_16_full_history,2.01239076053371,4.821502232061484,FAR-GF-RC,43,4.430499562113547,horizon_12,3384008,3.221380586018413
spatial_geographic_knn4_cluster_32_full_history,1.7076525366787918,3.9406586706707474,FAR-GF-RC,43,3.76583542947193,overall,40608096,2.7336308513694183
