absolute_mae_degradation_mean,absolute_mae_degradation_sample_std,condition_identifier,model_identifier,relative_mae_degradation_percent_mean,relative_mae_degradation_percent_sample_std,scope_identifier,seed_count
0.0116941502476366,0.0006574405978211,iid_random_10pct,FAR-GF-RC,0.7185867738014794,0.0400027210437133,overall,5
0.0451212428562249,0.0011423263850734,iid_random_30pct,FAR-GF-RC,2.772671404492208,0.0688767650525487,overall,5
0.1061410711393591,0.001297599875993,iid_random_50pct,FAR-GF-RC,6.522272783180291,0.0697604265834548,overall,5
0.0427777237061616,0.0003773489453454,spatial_geographic_knn4_cluster_16_full_history,FAR-GF-RC,2.628723554774882,0.0276264332664735,overall,5
0.0812991750467255,0.0006711458951318,spatial_geographic_knn4_cluster_32_full_history,FAR-GF-RC,4.99588718378449,0.0490579714801727,overall,5
0.01920378678311,0.0002400222757333,spatial_geographic_knn4_cluster_8_full_history,FAR-GF-RC,1.180091071696551,0.0165601233308508,overall,5
0.0478700923416977,0.0005841923178207,temporal_tail_25pct_sensors_3steps,FAR-GF-RC,2.941618663349979,0.0362932007798363,overall,5
0.1594125765889746,0.0009479546159156,temporal_tail_50pct_sensors_6steps,FAR-GF-RC,9.79594441858757,0.0677501412095365,overall,5
0.6630238933114054,0.0040661057312123,temporal_tail_75pct_sensors_12steps,FAR-GF-RC,40.743182334940336,0.3199270414392821,overall,5
0.012744812815862,0.0007224651876514,iid_random_10pct,MS-GRU,0.7346299047860126,0.0407758673743031,overall,5
0.0470226879342849,0.0020109256235746,iid_random_30pct,MS-GRU,2.71056009249342,0.1143545795125253,overall,5
0.1057716479249163,0.0041945156983058,iid_random_50pct,MS-GRU,6.09715708918384,0.2407581675246888,overall,5
0.0562916950411652,0.0011448880798621,spatial_geographic_knn4_cluster_16_full_history,MS-GRU,3.244993925842171,0.0691418788918784,overall,5
0.1061684601777603,0.0024772917862492,spatial_geographic_knn4_cluster_32_full_history,MS-GRU,6.120227147710039,0.1499403068920512,overall,5
0.0266668368912688,0.0005628840218002,spatial_geographic_knn4_cluster_8_full_history,MS-GRU,1.5372370846494263,0.0338729359888376,overall,5
0.0613048552363491,0.0022080779869645,temporal_tail_25pct_sensors_3steps,MS-GRU,3.53400805731962,0.130522459669753,overall,5
0.2037496706799974,0.0069630134711615,temporal_tail_50pct_sensors_6steps,MS-GRU,11.74553464920835,0.4153723325323083,overall,5
0.8195907589432674,0.0177704066949194,temporal_tail_75pct_sensors_12steps,MS-GRU,47.24615543092915,1.0675778165223846,overall,5
0.0149915431765412,0.0010831951255952,iid_random_10pct,MS-TCN-v2,0.8599434578729166,0.0607924309149375,overall,5
0.0534659582116566,0.0025714653315179,iid_random_30pct,MS-TCN-v2,3.0670384195977376,0.1442003477487237,overall,5
0.1152581441204803,0.0037891266181453,iid_random_50pct,MS-TCN-v2,6.611995187517986,0.218708834263483,overall,5
0.0555339270655722,0.0010142261458903,spatial_geographic_knn4_cluster_16_full_history,MS-TCN-v2,3.185843118543749,0.0622434765025793,overall,5
0.1039828799098349,0.0019071239841445,spatial_geographic_knn4_cluster_32_full_history,MS-TCN-v2,5.965143556695336,0.11071828006774,overall,5
0.0260839707809589,0.000464640992824,spatial_geographic_knn4_cluster_8_full_history,MS-TCN-v2,1.49635570798264,0.0274793261705539,overall,5
0.061484027469698,0.0018303028077191,temporal_tail_25pct_sensors_3steps,MS-TCN-v2,3.5267743830762086,0.088970633696147,overall,5
0.1997479121033521,0.004170153315545,temporal_tail_50pct_sensors_6steps,MS-TCN-v2,11.458537704539742,0.2209333882376269,overall,5
0.8053571600422653,0.0151695561966097,temporal_tail_75pct_sensors_12steps,MS-TCN-v2,46.20087983818852,0.8986664503704536,overall,5
