model_identifier,worst_condition_mae_mean,worst_condition_mae_sd
FAR-GF-RC,2.2903664378759325,0.0016693086808180556
MS-GRU,2.554353254858678,0.017884034587777355
MS-TCN-v2,2.5485525933697217,0.01733917847993075
